title;link;downloaded;notesTaken
"Transplantation de plantules de médicinales";"https://www.youtube.com/watch?v=5-Ap3eq8ync";false;false
"Faire une teinture par percolation";"https://www.youtube.com/watch?v=g6CnWK0ZaFY";false;false
"Pulverisation des plantes medicinales";"https://www.youtube.com/watch?v=-pwbKV-gyQs";false;false
"France 5 - La quotidienne";"https://www.youtube.com/watch?v=GzExgeCHy0s";false;false
"Message de bienvenue";"https://www.youtube.com/watch?v=SHXwMzKdVt8";false;false
"Cueillette du millepertuis (Hypericum perforatum)";"https://www.youtube.com/watch?v=ZOmeJOu_E7U";false;false
"Bain d'oeil à base de plantes";"https://www.youtube.com/watch?v=wiusdQbPn2U";false;false
"La vipérine (Echium vulgare)";"https://www.youtube.com/watch?v=dOkPggCRiYg";false;false
"Le souci (Calendula officinalis)";"https://www.youtube.com/watch?v=kEmi_zFcIgo";false;false
"La partenelle ou grande camomille (Tanacetum parthenium)";"https://www.youtube.com/watch?v=qwm_PTlyscs";false;false
"Scarification d'une graine";"https://www.youtube.com/watch?v=9n-oNCrzip4";false;false
"Revue de livre : "La Phytothérapie" de Jean Valnet";"https://www.youtube.com/watch?v=uhmUWm2OKv8";false;false
"Gotu kola (Centella asiatica)";"https://www.youtube.com/watch?v=OOGEjsxTuBc";false;false
"Revue de livre : "Se soigner par les plantes" de Gilles Corjon";"https://www.youtube.com/watch?v=6ZSNyqyUpp8";false;false
"Extraction du gel d'aloe vera";"https://www.youtube.com/watch?v=T98Uhdiw-hg";false;false
"Interview avec Pascale Gélis Imbert au sujet de son nouveau livre";"https://www.youtube.com/watch?v=f6ADOc_jE-0";false;false
"Arroser ses graines de médicinales pour une bonne germination";"https://www.youtube.com/watch?v=ngsL5OFOesM";false;false
"L'échinacée au jardin";"https://www.youtube.com/watch?v=vxkYwdoEIMw";false;false
"Préparer la terre pour ses pots de médicinales";"https://www.youtube.com/watch?v=uYSpXdMBYsE";false;false
"Culture hors sol en lasagne";"https://www.youtube.com/watch?v=0QJNLxvu8dE";false;false
"Réussir ses semis de plantes médicinales";"https://www.youtube.com/watch?v=Va2g5nsSlEQ";false;false
"Introduction au jardin des médicinales";"https://www.youtube.com/watch?v=Ec0snPKA9Yk";false;false
"Cure détox";"https://www.youtube.com/watch?v=EjxogosvpfI";false;false
"Herboristes au Québec : entretien avec Anne Vastel";"https://www.youtube.com/watch?v=H5DTIYFLUpc";false;false
"Réglisse : propriétés médicinales";"https://www.youtube.com/watch?v=5B0mp2esd_M";false;false
"Agripaume : plante médicinale oubliée";"https://www.youtube.com/watch?v=ua1b6V3jFMs";false;false
"Camomille matricaire";"https://www.youtube.com/watch?v=PFLcMFdXST4";false;false
"Échinacée : stimulante du système immunitaire";"https://www.youtube.com/watch?v=yOXoPoWwnOg";false;false
"Teinture de plante avec presse à café";"https://www.youtube.com/watch?v=H-V9Fj8siZo";false;false
"Brunelle : elle répare les plaies !";"https://www.youtube.com/watch?v=REm5vj4JYd8";false;false
"Culture hors sol en lasagne - Partie 2";"https://www.youtube.com/watch?v=4Og1vd43uno";false;false
"Plantain : piqûres, brûlures, problèmes de peau, ulcères";"https://www.youtube.com/watch?v=fpibm9InWOg";false;false
"Hibiscus sabdariffa";"https://www.youtube.com/watch?v=GCtHMQCNOuE";false;false
"Gelules : comment les fabriquer vous-même";"https://www.youtube.com/watch?v=LlUpLCXatFM";false;false
"Jiaogulan (Gynostemma pentaphyllum)";"https://www.youtube.com/watch?v=p_-zv43anog";false;false
"Basilic sacré (tulsi)";"https://www.youtube.com/watch?v=EoZm8zX-UoI";false;false
"Revue de livre : Dictionnaire des Plantes Médicinales et Vénéneuses";"https://www.youtube.com/watch?v=te5lHplLA_0";false;false
"Marronnier d'Inde";"https://www.youtube.com/watch?v=fQlALV6Sc5E";false;false
"La manne de frêne";"https://www.youtube.com/watch?v=_yy6SlHW0xw";false;false
"Comment faire une bonne convalescence";"https://www.youtube.com/watch?v=_UkfLCiCv8w";false;false
"Fleur de sureau : comment l'utiliser";"https://www.youtube.com/watch?v=iCuqPvPN2F8";false;false
"Filtrer et presser une teinture";"https://www.youtube.com/watch?v=XKExqliz_yY";false;false
"Graine d'anis vert : propriétés";"https://www.youtube.com/watch?v=s38wCyUWa7g";false;false
"Dosages - différence poudre et infusion";"https://www.youtube.com/watch?v=rZzMP2K7LIc";false;false
"kinkeliba";"https://www.youtube.com/watch?v=yHmYh_zhfZM";false;false
"Secrets d'une Herboriste - Marie-Antoinette Mulot";"https://www.youtube.com/watch?v=-mmf1bhU-QI";false;false
"Gastroentérite : comment la soulager ?";"https://www.youtube.com/watch?v=-gF5owL0S0w";false;false
"Fragon ou petit houx (Ruscus aculeatus)";"https://www.youtube.com/watch?v=ZA2XaKZuFJY";false;false
"Safran : épice et plante médicinale";"https://www.youtube.com/watch?v=JC9g-6MQ8I0";false;false
"Anti-vieillissement prématuré : comment réfléchir au problème ?";"https://www.youtube.com/watch?v=C7G9dSPc-oE";false;false
"Comment bien choisir vos huiles végétales";"https://www.youtube.com/watch?v=P7Ra-sUenEc";false;false
"Calendula arvensis - le souci des champs";"https://www.youtube.com/watch?v=mEdIWwSMJos";false;false
"Fatigue de fin d'hiver";"https://www.youtube.com/watch?v=g6fSN4oyTAU";false;false
"Clou de girofle";"https://www.youtube.com/watch?v=8_QwnkhSiS4";false;false
"Barbe de maïs : comment l'utiliser ?";"https://www.youtube.com/watch?v=WjSIWYXW7aU";false;false
"Eleutherocoque";"https://www.youtube.com/watch?v=SY_HPS6LnRY";false;false
"verrues plantaires";"https://www.youtube.com/watch?v=J5BOJvXpaeI";false;false
"Bourse à pasteur";"https://www.youtube.com/watch?v=y1KDcW-bYOY";false;false
"Faut-il mélanger les plantes ou les prendre seules ?";"https://www.youtube.com/watch?v=37pdu5V-mXI";false;false
"La fumeterre (Fumaria officinalis)";"https://www.youtube.com/watch?v=6DNmgi5nY3w";false;false
"Méditation autour d'une infusion";"https://www.youtube.com/watch?v=ztt4VEgTiVQ";false;false
"Aubier de tilleul";"https://www.youtube.com/watch?v=RqA_nhKdSH8";false;false
"La maca";"https://www.youtube.com/watch?v=es6VF_Soo3Q";false;false
"La feuille d'olivier";"https://www.youtube.com/watch?v=H3Mo2I2NHtU";false;false
"Euphorbes";"https://www.youtube.com/watch?v=frEhF_7sBrU";false;false
"Le chiendent";"https://www.youtube.com/watch?v=M0poZFQmnYQ";false;false
"Le pissenlit";"https://www.youtube.com/watch?v=scyuaWxMCXQ";false;false
"Le Coquelicot";"https://www.youtube.com/watch?v=AfmHxoqE3_g";false;false
"Noix de cola";"https://www.youtube.com/watch?v=QJf2jb04XQ4";false;false
"La mauve";"https://www.youtube.com/watch?v=M-SlmiWS7sA";false;false
"Les Mucilages";"https://www.youtube.com/watch?v=E7W2s6JpEQI";false;false
"La sauge";"https://www.youtube.com/watch?v=k4SG-HQo47U";false;false
"Escholtzia";"https://www.youtube.com/watch?v=4R-5h5ZnFc0";false;false
"L'ail";"https://www.youtube.com/watch?v=P6Y6XTICp6o";false;false
"Bruyère";"https://www.youtube.com/watch?v=J0PcWZGEcpQ";false;false
"Gingembre";"https://www.youtube.com/watch?v=L4P28NLFJnM";false;false
"Les tanins - Partie 1 - AltheaProvence";"https://www.youtube.com/watch?v=hBykc7pbbZQ";false;false
"Les tanins - Partie 2 - AltheaProvence";"https://www.youtube.com/watch?v=I1UaNbqJD6k";false;false
"Le livre des bonnes herbes";"https://www.youtube.com/watch?v=tyGdYLengJs";false;false
