title;link;downloaded;notesTaken
"NO DIG ABUNDANCE, a weedy field becomes garden in 9 months, using mulches only";"https://www.youtube.com/watch?v=HATC3rG6NbQ";false;false
"SPRING SOWINGS Propagation undercover";"https://www.youtube.com/watch?v=jSKHHPHlfzk";false;false
"Experiments in sowing and growing";"https://www.youtube.com/watch?v=PZdhLZDavBc";false;false
"SPRING SOWINGS Hotbeds";"https://www.youtube.com/watch?v=UlBfQOacKrE";false;false
"Salad leaves through winter";"https://www.youtube.com/watch?v=smC5qJMisLo";false;false
"SPRING SOWINGS Sowing and planting into surface compost outside";"https://www.youtube.com/watch?v=qZs17nwxgtg";false;false
"When to pick and how to make more of what is growing";"https://www.youtube.com/watch?v=7wFSDaugODo";false;false
"Charles Dowding Growing Course";"https://www.youtube.com/watch?v=-aQZn6G3VWA";false;false
"Summer in the Greenhouse, mostly Tomatoes";"https://www.youtube.com/watch?v=54deYPBqeAQ";false;false
"More harvests,  less sowings: Charles' method for picking frequently off the same lettuce";"https://www.youtube.com/watch?v=jaELk7e9uuc";false;false
"In summer, second sowings for more harvests";"https://www.youtube.com/watch?v=0Ku9bMoz6Rk";false;false
"Charles Dowding compares growth in dug and undug soil";"https://www.youtube.com/watch?v=7WdM__pw7Sk";false;false
"The benefits of multi-sowing modules showing a full stand of beetroot at harvesting stage";"https://www.youtube.com/watch?v=iWUwS9P_GOs";false;false
"Multisowing modules to save time, compost and greenhouse space";"https://www.youtube.com/watch?v=pXOM2gzL0AQ";false;false
"Hotbeds – an old way to raise new plants";"https://www.youtube.com/watch?v=NhPh4sYCW5Q";false;false
"Clearing and replanting beds in the summer, fast, without digging or forking";"https://www.youtube.com/watch?v=PdjtNPKd6ro";false;false
"Midsummer harvests of no dig potatoes and multi-sown onions.";"https://www.youtube.com/watch?v=EBV_ri1_XSQ";false;false
"No dig with Charles Dowding, showing his fourth summer at Homeacres";"https://www.youtube.com/watch?v=QVY4SJt4mzg";false;false
"fast lettuce pick video";"https://www.youtube.com/shorts/OxSe121YGmg";false;false
"Comparing growth and harvests in adjacent strips, dug/forked and no dig";"https://www.youtube.com/watch?v=tLHtveS3qJg";false;false
"Comparing growth of the same vegetables, with mulches of different composts";"https://www.youtube.com/watch?v=9i7yAYenaQk";false;false
"Rotation: how necessary is it for vegetables?";"https://www.youtube.com/watch?v=WXQNnJOBQJc";false;false
"No dig, two ways to clear weeds";"https://www.youtube.com/watch?v=Mmv2zGfhG8w";false;false
"Les Mythes du Jardinage";"https://www.youtube.com/watch?v=_WDk0U0oLa0";false;false
"Best timings and methods for bigger harvests, my Diary tips for easier growing";"https://www.youtube.com/watch?v=1IF-jqHYvUs";false;false
"Speedy ten minute preparation of a no dig bed for winter, spring, summer and autumn,  28s time lapse";"https://www.youtube.com/watch?v=OoUANPgCHRA";false;false
"No dig explained in 3 minutes";"https://www.youtube.com/watch?v=VJhGIrqKs1k";false;false
