title;link;downloaded;notesTaken
"Autoconstruction d'une MOB : Projet de A à Z -  LPMDP #1";"https://www.youtube.com/watch?v=jUSpTudTqY4";false;false
"Comment trouver le terrain de vos rêves ?! -  LPMDP #2";"https://www.youtube.com/watch?v=ZSPmjv4yig0";false;false
"Comment faire son permis de construire ? (exemple concret) - LPMDP #3";"https://www.youtube.com/watch?v=5R3iRh7rFL0";false;false
"DIY Zéro déchet - Sac à fruits et légumes";"https://www.youtube.com/watch?v=Ja7C125dvz4";false;false
"Permis de construire raté.... - LPMDP #4";"https://www.youtube.com/watch?v=nOtW0DLSkgo";false;false
"Construire un abri de jardin (plan) - LPMDP #5";"https://www.youtube.com/watch?v=4tq5x3rw9YQ";false;false
"Abri de jardin - Timelapse Sketchup";"https://www.youtube.com/watch?v=5OeJj5v7_pg";false;false
"Aménagement de notre tiny house sans remorque (Sketchup) - LPMDP #6";"https://www.youtube.com/watch?v=-siPFS2P3ng";false;false
"Structure de notre MOB en détail - LPMDP #7";"https://www.youtube.com/watch?v=_vzJDfUsar8";false;false
"Achat de terrain : le suspens de la SAFER - LPMDP #8";"https://www.youtube.com/watch?v=i5x2pO1wQp0";false;false
"[VAN TOUR] Renault Master II transformé en fourgon aménagé - LPMDP #10";"https://www.youtube.com/watch?v=3zkWGQ7E5vA";false;false
"Présentation de notre terrain constructible - LPMDP #9";"https://www.youtube.com/watch?v=exyD3WXNwr4";false;false
"Planter une haie de cyprès - LPMDP #11";"https://www.youtube.com/watch?v=Ll_fX6dChv8";false;false
"Outils pour l'autoconstruction de notre tiny house - LPMDP #12";"https://www.youtube.com/watch?v=mBjRFa6YAmU";false;false
"Bois de construction : bien le choisir et le stocker - LPMDP #13";"https://www.youtube.com/watch?v=ErcGLttR8OA";false;false
"Fabrication d'un lève-murs - LPMDP #14";"https://www.youtube.com/watch?v=WenQjqWzgkk";false;false
"Comment faire les fondations d'un abris de jardin - LPMDP #15";"https://www.youtube.com/watch?v=TCnFude_UUE";false;false
"Vêtements de travail - LPMDP #16";"https://www.youtube.com/watch?v=PsdXOBKMm8U";false;false
"Fabrication d'un banc de sciage - LPMDP#18";"https://www.youtube.com/watch?v=AFwA8GAuTec";false;false
"Comment construire une dalle bois pour un abri de jardin - LPMDP#17";"https://www.youtube.com/watch?v=TrWaIoKBsSY";false;false
"Comment construire un abri de jardin en ossature bois - LPMDP #19";"https://www.youtube.com/watch?v=focn8NAlV58";false;false
"Comment faire un linteau sur un mur en ossature bois - LPMDP #20";"https://www.youtube.com/watch?v=Eou1htoxBK0";false;false
"Comment faire des murs en ossature bois pour une cabane de jardin ? - LPMDP #21";"https://www.youtube.com/watch?v=Nype8JqPliQ";false;false
"Pare-pluie et fixation : Comment faire les angles d'une ossature bois ? - LPMDP #22";"https://www.youtube.com/watch?v=IrhvDdPAMGE";false;false
"On transforme une fenêtre en porte ?! 🤔 - LPMDP #25";"https://www.youtube.com/watch?v=cfcJN-vAn-U";false;false
"Comment fabriquer un toit mono-pente en ossature bois ? - LPMDP #23";"https://www.youtube.com/watch?v=t4kgFPAWk1A";false;false
"Construire un abri de jardin : regarder ça AVANT de vous lancer ! - LPMDP #26";"https://www.youtube.com/watch?v=ZgNtZce054g";false;false
