title;link;downloaded;notesTaken
"🍒🍑🍇🍐CONSERVER LES FRUITS : 18 MÉTHODES - partie 1🍒🍑🍇🍐";"https://www.youtube.com/watch?v=1kcvgWFdJUM";false;false
"🌞🔋💰 PHOTOVOLTAÏQUE AUTONOME À PETIT BUDGET🌞🔋💰";"https://www.youtube.com/watch?v=Uha9qzXV9bI";false;false
"🐝🐞🐸🌼FAVORISER LA BIODIVERSITÉ🐝🐞🐸🌼";"https://www.youtube.com/watch?v=E8X244IXAp0";false;false
"🍀😀LA PERMACULTURE APPLIQUÉE AUX RELATIONS HUMAINES🍀😀";"https://www.youtube.com/watch?v=Rd30aGxQcq8";false;false
"🌞🔋⚠️PHOTOVOLTAIQUE – LES PIÈGES A ÉVITER🌞🔋⚠️";"https://www.youtube.com/watch?v=DY3YRaJbjbU&t=4s";false;false
"😇🙌🕊️GÉRER LES PERSONNALITÉS TOXIQUES😇🙌🕊️";"https://www.youtube.com/watch?v=7GhVPqVWK50";false;false
"😀🍀 QUESTIONS – RÉPONSES 😀🍀";"https://www.youtube.com/watch?v=JLwZGdsvJcQ";false;false
"🍀🍀🍀OPERATION ABONDANCE ALIMENTAIRE🍀🍀🍀";"https://www.youtube.com/watch?v=UDNSawYU-TA";false;false
"💰🛡️🍀RESILIENCE FINANCIERE – COMMENT PROTEGER SES ECONOMIES ?💰🛡️🍀";"https://www.youtube.com/watch?v=XrQ5q3Jfm1A";false;false
"🌼🌺🤩FLEURS COMESTIBLES – UN VRAI BONHEUR🌼🌺🤩";"https://www.youtube.com/watch?v=aFt3zp22KY8";false;false
"🌳😀TILLEUL - L'ARBRE DE L'AUTONOMIE ALIMENTAIRE🌳😀";"https://www.youtube.com/watch?v=a2sq-OtgTbU";false;false
"🏙️💪✅RESILIENCE EN VILLE ET EN APPARTEMENT🏙️💪✅";"https://www.youtube.com/watch?v=KReXycizKC8";false;false
"😀🌵❤️PERMACULTURE  - LES CHARDONS SONT NOS AMIS😀🌵❤️";"https://www.youtube.com/watch?v=jW3mWdj3kBk";false;false
"😀🐝🐝APICULTURE – ESSAIM NATUREL OU ARTIFICIEL ?😀🐝🐝";"https://www.youtube.com/watch?v=35dgaUlgheg";false;false
"🌍✔️DES SOLUTIONS POUR CHANGER LE MONDE🌍✔️";"https://www.youtube.com/watch?v=SVmb5oR9ZHE";false;false
"🍀🐸MAUVAISES HERBES ? QU'EN FAIRE ?🍀🐸";"https://www.youtube.com/watch?v=1VQrJav2H80";false;false
"😀🧠AUTONOMIE MENTALE : REPROGRAMMONS NOTRE CERVEAU😀🧠";"https://www.youtube.com/watch?v=SFzf2-mHya8";false;false
"🍀🌼TISANES MAISON DE NINA🍀🌼";"https://www.youtube.com/watch?v=bfJopnZ011w";false;false
"😋🍀10 PLANTES SAUVAGES POUR L'AUTONOMIE ALIMENTAIRE😋🍀";"https://www.youtube.com/watch?v=H4SsCcc-Ifg";false;false
"🔋⚠️Autonomie santé : Hyperactif = Hyper fatigué 🔋⚠️";"https://www.youtube.com/watch?v=LoY5Cbyvd_g";false;false
"🤩🍀🍆🥕Permaculture solidaire🤩🍀🍆🥕";"https://www.youtube.com/watch?v=G4q12bFeKTY";false;false
"😀💪Plus AUTONOMES grâce à la RÉSILIENCE COLLECTIVE😀💪";"https://www.youtube.com/watch?v=WjhrOziSDVc";false;false
"🤩🍆🍅Une belle rencontre avec Jean-Pierre du potager de Lunas🤩🍆🍅";"https://www.youtube.com/watch?v=4EOlqJjZQao";false;false
"🌳🍒😍 Faire ses greffes en pratique 🌳🍒😍";"https://www.youtube.com/watch?v=47_kInpGXP4";false;false
"😋 🍏🥕🍗🥫Stock alimentaire - Nos astuces pour l'organiser facilement 😋 🍏🥕🍗🥫";"https://www.youtube.com/watch?v=Qx4b_UmQG3Y";false;false
"🤩Une belle rencontre avec Didier, de la chaîne "Et Saar'part"🤩";"https://www.youtube.com/watch?v=YqoKcOGWOOk";false;false
"😀🍎🍑🍐🍒Greffes   partie 1 - portes-greffes et greffons😀🍎🍑🍐🍒";"https://www.youtube.com/watch?v=fX5j-qgXidY";false;false
"🌞🔋⚡💡Photovoltaïque : ce que l'on peut alimenter, et ce qu'on ne peut pas alimenter 🌞🔋⚡💡";"https://www.youtube.com/watch?v=BJ2E3OwaZMw";false;false
"Une révolution déguisée en technique de jardinage";"https://www.youtube.com/watch?v=zW6jebPOPS4";false;false
"🤩Une belle rencontre avec Bernard Bertrand et Christina Otto🤩";"https://www.youtube.com/watch?v=jxUtK6XHEbg";false;false
