title;link;downloaded;notesTaken
"How to pot on a sapling";"https://www.youtube.com/watch?v=7AjlUDaJGf8";false;false
"Propagating Honeysuckle from Softwood Cuttings";"https://www.youtube.com/watch?v=lxUeISTz9x8";false;false
"How to Make an Organic Root Hromone for rooting Plants";"https://www.youtube.com/watch?v=oM1O4XyLwE0";false;false
"Propagating Golden Marjoram from cuttings";"https://www.youtube.com/watch?v=vERu2IHfNTQ";false;false
"Propagating Lemon Balm from cuttings";"https://www.youtube.com/watch?v=MlAhwtMjGlU";false;false
"Propagating Lavender from cuttings/growing Lavender cuttings";"https://www.youtube.com/watch?v=gedCqVYaq-E";false;false
"Propagating Cotton Lavender from cuttings";"https://www.youtube.com/watch?v=sZf7DXH-Qmo";false;false
"Propagating Soapwort from cuttings";"https://www.youtube.com/watch?v=cavQIhvYtok";false;false
"Herbal tea recipe for Lemon Balm tea";"https://www.youtube.com/watch?v=bFpjAORDlNE";false;false
"Starting seeds using old toilet paper rolls - Free pots!";"https://www.youtube.com/watch?v=YWaE9CtnkjE";false;false
"How to make pots out of recycling";"https://www.youtube.com/watch?v=KvSkg2JZkz4";false;false
"Propagating Cotoneaster from cuttings";"https://www.youtube.com/watch?v=8O3qbvOjTt8";false;false
"What you need to take Healthy Cuttings from Plants";"https://www.youtube.com/watch?v=dYea8BrHXGw";false;false
"Adding sand to compost";"https://www.youtube.com/watch?v=7RvCnES5kos";false;false
"How to use willow rooting stimulator";"https://www.youtube.com/watch?v=sLXehFAtYeE";false;false
"Plant propagation from softwood cuttings";"https://www.youtube.com/watch?v=jzg5uvmFwKA";false;false
"Propagating Golden Marjoram Pt 2";"https://www.youtube.com/watch?v=ncUjJMHDXuE";false;false
"Propagating Lavender Pt 2";"https://www.youtube.com/watch?v=b8ysvUJG_og";false;false
"Tour along my soft fruit hedge";"https://www.youtube.com/watch?v=wuPYY3POz5E";false;false
"How to light a Chiminea";"https://www.youtube.com/watch?v=ulNceEms9wo";false;false
"Poly Pots - Easiest pots to plant stuff in!";"https://www.youtube.com/watch?v=nHlKxvXJJfg";false;false
"How to identify a Hazel tree";"https://www.youtube.com/watch?v=bpDt1HObzXU";false;false
"How to Train a Tomato Plant to get more Fruits (Great for small-space Growing)";"https://www.youtube.com/watch?v=AoqQ8PmiX1s";false;false
"How to Grow Roses from Cuttings - Cloning Rose Propagation";"https://www.youtube.com/watch?v=BkLNreH0YBo";false;false
"Proof that Rose Cuttings Root";"https://www.youtube.com/watch?v=lhuc8t5ngs0";false;false
"Growing Organic Rootstocks from Apple Seeds";"https://www.youtube.com/watch?v=vg4IEIUzM24";false;false
"Propagation uptade 8/8/11";"https://www.youtube.com/watch?v=MbGmhJUhA5o";false;false
"How to make Organic Nettle Plant Fertilizer";"https://www.youtube.com/watch?v=xjgU2xciE-o";false;false
"Growing Raspberries - How to Train Raspberry Plants for MORE Fruit";"https://www.youtube.com/watch?v=ejcsNU6B5hQ";false;false
"A quick tour round our solar tunnel";"https://www.youtube.com/watch?v=q4VbpKGXQJk";false;false
"Our habitat pile";"https://www.youtube.com/watch?v=aUzHtgoE2J8";false;false
"A look at my Grape vine";"https://www.youtube.com/watch?v=Y_64LVCHJ2k";false;false
"Walks around Mid Wales - Devils Bridge";"https://www.youtube.com/watch?v=KW4daOv_Ta4";false;false
"A rare sighting of a Lizard";"https://www.youtube.com/watch?v=h2M-EfBDM38";false;false
"A great Rowan tree";"https://www.youtube.com/watch?v=Qek6Ekkd6fc";false;false
"Our best crop of Damsons";"https://www.youtube.com/watch?v=PT4PFWS5cPk";false;false
"How to Make a Perfect Omelette Fast!";"https://www.youtube.com/watch?v=oYUTPKcvtDU";false;false
"Propagation update 17/8/11";"https://www.youtube.com/watch?v=CiT_iF_hEh8";false;false
"A look at our cucumber plant";"https://www.youtube.com/watch?v=FnlDawPLzdI";false;false
"How to make Logs from newspaper - Save the Planet (free fuel!)";"https://www.youtube.com/watch?v=v-Yhq6NUdQg";false;false
"A look at our poultry";"https://www.youtube.com/watch?v=AwhKhUoxAC0";false;false
"How to make Bird sounds using only your Hands";"https://www.youtube.com/watch?v=mghLlGieR6I";false;false
"Flying our polystyrene model plane";"https://www.youtube.com/watch?v=5eO6FJT6RcM";false;false
"Blackcurrant cutting 3 years later";"https://www.youtube.com/watch?v=_HUoRuoKDEw";false;false
"How to make Liquid Manure for your Plants";"https://www.youtube.com/watch?v=JT1G2KDg3_I";false;false
"My best pieces of ARTWORK!!!";"https://www.youtube.com/watch?v=Y8zejs4W_w4";false;false
"How to draw a tree freehand";"https://www.youtube.com/watch?v=ObOcC6ZxeHo";false;false
"How to sketch a tree";"https://www.youtube.com/watch?v=xmYBInzAkm8";false;false
"Propagation update 30-8-11";"https://www.youtube.com/watch?v=tuo68EVa9fo";false;false
"Rose cutting update September";"https://www.youtube.com/watch?v=i9wQjIQwoQw";false;false
"Our flower border";"https://www.youtube.com/watch?v=fcEn3gJxf_Q";false;false
"How to clear around an apple tree";"https://www.youtube.com/watch?v=7kNO_c2_mPo";false;false
"How to make a hay tripod";"https://www.youtube.com/watch?v=AvkI3xYJbU4";false;false
"my best sketches August 2011";"https://www.youtube.com/watch?v=6yrAdGJttlo";false;false
"How to draw foliage";"https://www.youtube.com/watch?v=V8MHcW0s2Ok";false;false
"a look at Norwood Gardens, west wales";"https://www.youtube.com/watch?v=Gt5fqdPSF_M";false;false
"The Organic Vegetable Garden";"https://www.youtube.com/watch?v=_4irPuFV388";false;false
"Making our 2nd hay tripod";"https://www.youtube.com/watch?v=Zsk6ga-uCEU";false;false
"my grape vine cutting";"https://www.youtube.com/watch?v=TzWi-muSB6I";false;false
"Rose cutting update mid-september";"https://www.youtube.com/watch?v=52GAJTfDdpY";false;false
"Carrot top experiment results";"https://www.youtube.com/watch?v=IGe4lDGtsXo";false;false
