title;link;downloaded;notesTaken
"Vidéo #1 Présentation de L'Archi'Pelle";"https://www.youtube.com/watch?v=V6sIDUEyD8s";false;false
"Vidéo #5 Interview de Raymonde Gal sur l'ortie pour L'Archi'Pelle";"https://www.youtube.com/watch?v=TyN8q2aHc8U";false;false
"Comprendre, évaluer et choisir son système photovoltaïque (solaire) pour votre maison autonome";"https://www.youtube.com/watch?v=8sVyV7GNS_s";false;false
"Vidéo #15 Les arbres fruitiers, la haie fruitière et comment planter un arbre";"https://www.youtube.com/watch?v=gpqsK8-dBow";false;false
"Les cuves de récupération d'eau pluviale et l'installation d'une cuve enterrée";"https://www.youtube.com/watch?v=veJCtOLABn8";false;false
"#28 Autonomie, Je me présente, et je vous parle d'argent (financements projets etc... )";"https://www.youtube.com/watch?v=K-epNk0h520";false;false
"Comment filtrer et valoriser l'eau pluviale";"https://www.youtube.com/watch?v=LMGgHm_TQk4";false;false
"Comment brancher et connecter son installation photovoltaïque pour sa maison autonome";"https://www.youtube.com/watch?v=Dm2u-WsLX0A";false;false
"#39 Se connecter à internet par la 4G en zone rurale";"https://www.youtube.com/watch?v=OMr7Lp23ZwY";false;false
"Visite d'une maison autonome et autoconstruite de 4 personnes dans les Pyrénées";"https://www.youtube.com/watch?v=5IrrU-P2ja0";false;false
"Présentation de 6 arbres fruitiers exotiques acclimatés à la France et faciles à faire pousser.";"https://www.youtube.com/watch?v=1uwAf3mmluk";false;false
"Comment devenir autonome en eau potable avec l'eau de pluie";"https://www.youtube.com/watch?v=RRrQZ7G89E8";false;false
"Dimensionnement d'une installation photovoltaïque pour votre maison autonome";"https://www.youtube.com/watch?v=a0FB0_uc2BI";false;false
"Comment améliorer sa connexion 4G avec une antenne extérieure 4G (autonomie et internet)";"https://www.youtube.com/watch?v=rW5oVYO2qSs";false;false
"#52 Ce que dit la loi sur l'autoproduction et l'autoconsommation d'électricité (autonomie d'énergie)";"https://www.youtube.com/watch?v=SHBxxemukWU";false;false
"Visite d'une maison autoconstruite et autonome en électricité dans l'Aude";"https://www.youtube.com/watch?v=_hEEBVfaa3c";false;false
"Explications et branchements d'une éolienne domestique pour votre maison autonome";"https://www.youtube.com/watch?v=CxtjV20tgsc";false;false
"Les filtres à gravité, interview de Laurent, distributeur France de British Berkefeld Doulton";"https://www.youtube.com/watch?v=zDXfGYqTccU";false;false
"#64 Choisir entre le stockage solaire au plomb ou au lithium pour votre maison autonome";"https://www.youtube.com/watch?v=mfq0AScBnfU";false;false
"Pourquoi et comment greffer des arbres fruitiers pour votre autonomie alimentaire ?";"https://www.youtube.com/watch?v=NHLziogcmNA";false;false
"#74 Interview : Ma Ferme Autonome à la Survival Expo";"https://www.youtube.com/watch?v=xoUga8J0c4U";false;false
"Visite d'une maison autoconstruite et AUTONOME de 5 personnes dans les Hauts de France";"https://www.youtube.com/watch?v=Y5q0W6vaMLA";false;false
"#79 Visite d'un ancien séchoir à tabac autonome dans le Tarn";"https://www.youtube.com/watch?v=sjE5blhro4M";false;false
"#83 Visite à l'intérieur de l'Archi'Pelle maison autonome simple et fonctionnelle";"https://www.youtube.com/watch?v=AeUpfkM-s9w";false;false
"Fabrication d'une serre semi-enterrée pour votre maison autonome";"https://www.youtube.com/watch?v=Uaw2Gmkv4fU";false;false
"Vidéo de présentation de L'Archi'Pelle";"https://www.youtube.com/watch?v=hKeFujkOgj4";false;false
"#98 Installation photovoltaïque avec batteries LITHIUM";"https://www.youtube.com/watch?v=PN88fkCauDo";false;false
"Il cultive son jardin en permaculture depuis 10 ans";"https://www.youtube.com/watch?v=iEmiJ_EFua8";false;false
"🌳 Des arbres fruitiers GRATUITS !";"https://www.youtube.com/watch?v=ru2UvQLbUeY";false;false
"Plus de 500 arbres fruitiers sur un terrain de 3000m² avec yourte";"https://www.youtube.com/watch?v=-v1RyFcWmp8";false;false
"#106 AUTONOMIE et URBANISME les règles à respecter";"https://www.youtube.com/watch?v=UPGVXvgo8RE";false;false
"#107 J'AI ECHOUE (apprendre de ses échecs)";"https://www.youtube.com/watch?v=7FRmzxCi-Us";false;false
"#108 La passiflore officinale : Vous ne la verrez plus  jamais de la même manière";"https://www.youtube.com/watch?v=2IJej2-I_Bc";false;false
"#109 Visite de maison pavillonnaire autonome en Occitanie";"https://www.youtube.com/watch?v=maszXRAFaiM";false;false
"Laver son linge en mode lowtech, écologique et économique";"https://www.youtube.com/watch?v=J--jvz4odeg";false;false
"Comment faire ses HUILES ESSENTIELLES à L'ALAMBIC ?";"https://www.youtube.com/watch?v=MrCTz6CcTPY";false;false
"#112 Améliorer sa connexion 4G à la campagne";"https://www.youtube.com/watch?v=SsVeaAxOyCc";false;false
"LE POMMIER : variétés anciennes ou contemporaines au jardin ?";"https://www.youtube.com/watch?v=VUU949OVIvs";false;false
"#115  100% autonome en eau depuis plus d'un an LE BILAN";"https://www.youtube.com/watch?v=LifnAsRRY4E";false;false
"Les préjugés sur les toilettes sèches, ça va chier ! (partie 1)";"https://www.youtube.com/watch?v=ybsWd1GRdzk";false;false
