title;link;downloaded;notesTaken
"fabriquer son éolienne et générateur / homemade wind turbine and generator";"https://www.youtube.com/watch?v=Kc_2704jFPE";false;false
"Ep 1 : Fabriquer 3 types de poele rocket / 3 Homemade rocket stoves";"https://www.youtube.com/watch?v=VCZSR3CFn8U";false;false
"Ep 2 : Incroyable rocket stove / Aluminum Furnace with dead leaves";"https://www.youtube.com/watch?v=FTezJ1kdZ6U&t=12s";false;false
"Ep 3 : Fonderie pour débutant / rocket stove - furnace aluminum melting";"https://www.youtube.com/watch?v=nDGz5GbfN3w";false;false
"Ep 4: Comment faire de la thermoélectricité avec un module peltier ?";"https://www.youtube.com/watch?v=GVpPmu6S_Dk";false;false
"Ep 5: Fabriquer son chauffe eau / Homemade water heater";"https://www.youtube.com/watch?v=_-4__gCwIHk";false;false
"Projet pilote à Voiron  - fonderie à l'école primaire";"https://www.youtube.com/watch?v=UPQZb_jnTDA";false;false
"Ep6: Comment sécher des pommes gratuitement. Manger sain.";"https://www.youtube.com/watch?v=xGk3Fuk5EBQ";false;false
"Ep7:  What else... for haloween";"https://www.youtube.com/watch?v=VXrAoLlZtKI";false;false
"Ep8 - 1/3- Four à pain, pizza...gratuit / free homemade wood fired pizza/bread oven";"https://www.youtube.com/watch?v=WfD7FU8id68";false;false
"Ep8  -2/3 - Préparer mon argile, ma poterie et la cuire /Preparing clay, making pottery and  firing";"https://www.youtube.com/watch?v=IZhCcAhtqTc";false;false
"Ep 8 -3/3-  Fabriquer des émaux et les fondre avec énergie gratuite / Prepare an enamel and melt it";"https://www.youtube.com/watch?v=nJIt7Fc2-VY";false;false
"Ep 9: fonderie à la cire perdu";"https://www.youtube.com/watch?v=bswZIemHGsU";false;false
"Ep 10:  Eolienne, le retour / Wind turbine, the come back";"https://www.youtube.com/watch?v=cpKIpPKyQZI";false;false
"Ep 11: Éolienne 3D en aluminium / 3D aluminum wind turbine";"https://www.youtube.com/watch?v=PsijcLWaKGM";false;false
"Ep12: Générateur éolienne 50 watts en PVC  / wind turbine generator 50w";"https://www.youtube.com/watch?v=SnSuCofiNcA";false;false
"Ep14 : Rocket stove, le retour";"https://www.youtube.com/watch?v=V0XwlSjxWuc";false;false
"Un peu de chaleur pour l'hiver...";"https://www.youtube.com/watch?v=EwHK-W8bakQ";false;false
"Ep15: Comment faire une galette sans pétrole / How to make a pancake without oil";"https://www.youtube.com/watch?v=siSZfZUKP-g";false;false
"Ep16: Plan poele dragon multicombustible sans soudure /  wood or pellets rocket stove drowing";"https://www.youtube.com/watch?v=R6pm-TD0P84";false;false
"Ep17 Chauffer sa "piscine" avec un rocket stove / water heater with rocket stove";"https://www.youtube.com/watch?v=hIccNZVX6X8";false;false
"Ep 18: Transition énergétique vol. 1 /  energetic transition part.1";"https://www.youtube.com/watch?v=xNul4pTbpTU";false;false
"Ep 22: J'ai fait ma chaussure avec un pneu Michelin 1/2";"https://www.youtube.com/watch?v=fDhHBnDmTs0";false;false
"Ep 23:  Sandale pneu Goodyear 2/2";"https://www.youtube.com/watch?v=MiARib7GdwI";false;false
"Ep19: Transition énergétique d'un enfant vol.2 /Energy transition of a child";"https://www.youtube.com/watch?v=H45LZZRkR8Q";false;false
"Transition énergétique d'une yourte: Episode 20";"https://www.youtube.com/watch?v=vXptoJ6EJPg";false;false
"Ep24: Remorque à vélo.";"https://www.youtube.com/watch?v=Iuan23roClc";false;false
"Petit défi pour les 50 000 abonnés de Barnabé Chaillot";"https://www.youtube.com/watch?v=6j04J0EbKLQ";false;false
"Ep 25 : fan de carotte";"https://www.youtube.com/watch?v=1GR81MWrgXo";false;false
"Ep26: POLENTA pour bricoleur autonome survivaliste.  Version courte";"https://www.youtube.com/watch?v=8736Sgz65pE";false;false
