title;link;downloaded;notesTaken
"Démontage batterie lithium18650 DYSON. On économise 20 KG de CO² !!";"https://www.youtube.com/watch?v=S7KCU_vH4vs";false;false
"Repair-café: réparation Roomba irobot  - upgrade batterie lithium 18650";"https://www.youtube.com/watch?v=DgFKlMjltds";false;false
"Low-tech: Fabriquer une Marmite Norvégienne haute performance dans un tiroir";"https://www.youtube.com/watch?v=yJJayCOW6Uc";false;false
"Economie d'énergie : Quelle cuisson est la plus économe ? Test en réel de la marmite Norvégienne";"https://www.youtube.com/watch?v=dRqnV7D8sXs";false;false
"Yaourt et Yaourt à boire sans yaourtière en Marmite Norvégienne";"https://www.youtube.com/watch?v=4ROm_7kRG_w";false;false
"Brico-recup : Réparer une tondeuse avec les moyens du bord";"https://www.youtube.com/watch?v=9b6WPoEbbtQ";false;false
"Repair-café: Remplacement moteur de brosse Dyson V10 direct drive et blabla";"https://www.youtube.com/watch?v=DMtK3Y9Sf3s";false;false
"Utiliser du Superéthanol E85 dans un tracteur tondeuse";"https://www.youtube.com/watch?v=qDCJ3Ztj00g";false;false
"Repair-café de Noël : le plus beau jouet de mon enfance pour mon fils (FAST TRAXX)";"https://www.youtube.com/watch?v=Z1zZUK-ogFk";false;false
"POTAGER RAPIDE ET PRET A SEMER sans travail du sol !";"https://www.youtube.com/watch?v=htslE1AVxFw";false;false
"Charlotte à plat cirée 🐝 🥗/ Bee Wrap";"https://www.youtube.com/watch?v=14xmwGD1rQU";false;false
"POTAGER RAPIDE 🌾 : BILAN APRES DEUX MOIS";"https://www.youtube.com/watch?v=bZgHoxixGyk&t=84s";false;false
"BAC POTAGER qui durera 50ANS! 🌿 (Chêne + Shou Sugi Ban + huile de lin)";"https://www.youtube.com/watch?v=RanFe7Q-ztY";false;false
"Tour à pomme de terre LIDL PARKSIDE : Cultiver sur ton balcon c'est écolo ou pas ? test";"https://www.youtube.com/watch?v=J_s3ThlBHFY";false;false
"TEST : FAUX VS DEBROUSSAILLEUSE";"https://www.youtube.com/watch?v=j3Bvl30jTYY";false;false
"Boisson zéro gâchis : Fruits-menthe maison (c'est délicieux)";"https://www.youtube.com/watch?v=gVHA9WnIAuI";false;false
"Comment installer une POMPE A CHALEUR DIY  tout seul ( clim Airton 5,2kW Readyclim )";"https://www.youtube.com/watch?v=FtXq6FStl2U";false;false
"Part1- Faire une centrale photovoltaïque RENTABLE ET SANS CONTRAINTE (en autoconsommation)";"https://www.youtube.com/watch?v=ZFkbDwaxhCo";false;false
"Part2- Faire une centrale photovoltaïque RENTABLE ET SANS CONTRAINTE (en autoconsommation)";"https://www.youtube.com/watch?v=ILgs1dsKzK8&t=1384s";false;false
"8 ACTIONS POUR ECONOMISER DE L'EAU CHAUDE sans perdre en confort";"https://www.youtube.com/watch?v=iR-e7CGBTRY";false;false
