title;link;downloaded;notesTaken
"Visite du jardin du Grand Jas";"https://www.youtube.com/watch?v=iaq6QNWUPKk";false;false
"La culture sur buttes 1 : permaculture et agroécologie";"https://www.youtube.com/watch?v=KI2bwOFnyCU";false;false
"La culture sur buttes 2";"https://www.youtube.com/watch?v=9AMRTUVP_ws";false;false
"Une butte de culture";"https://www.youtube.com/watch?v=R9WWRnWUp7E";false;false
"Une serre bioclimatique (en troupaille)";"https://www.youtube.com/watch?v=1cxpL57ls_s";false;false
"Une entrevue avec Eric Escoffier";"https://www.youtube.com/watch?v=TM5x31Mb-mU";false;false
"Un Cours Certifié de Permaculture à Bras 83 (film musical)";"https://www.youtube.com/watch?v=dVnkBks5K_A";false;false
"Jardiner avec les herbes";"https://www.youtube.com/watch?v=-80hSUpla9M";false;false
"Jardiner avec les insectes";"https://www.youtube.com/watch?v=RbdR9WyZN4s";false;false
"Faire ses semences";"https://www.youtube.com/watch?v=T1nrdFfcSqY";false;false
"Les Eléagnus ...";"https://www.youtube.com/watch?v=NAAhfGl7cwg";false;false
"La phytoépuration";"https://www.youtube.com/watch?v=jnf8g1jLq20";false;false
"L'arbre aux fraises ( Arbousier )";"https://www.youtube.com/watch?v=b_ZtQ52WqbM";false;false
"Le Micocoulier";"https://www.youtube.com/watch?v=VCSpSsxXWyE";false;false
"Permaculture ?";"https://www.youtube.com/watch?v=zsAc_R3jkag";false;false
"Le design en permaculture";"https://www.youtube.com/watch?v=7rjxcljLFzA";false;false
"Eco-construction en terre-paille";"https://www.youtube.com/watch?v=YWdmnAQPIeY";false;false
"Les toilettes sèches";"https://www.youtube.com/watch?v=ZEeNhnh6P9E";false;false
"Le Néflier d'Allemagne (Mespilus Germanica)";"https://www.youtube.com/watch?v=EbbLLZgSh7Q";false;false
"Le Jardin Forêt Comestible";"https://www.youtube.com/watch?v=S-uu3s7wr6c";false;false
"Jardinier Radical ?";"https://www.youtube.com/watch?v=KD4D1Mo4Wx4";false;false
"Quel bois utiliser dans une butte de culture ?";"https://www.youtube.com/watch?v=scfnjGB0nsA";false;false
"Permaculture au jardin de La Graine Indocile";"https://www.youtube.com/watch?v=jAhG2NZcPUQ";false;false
"Se soigner avec les plantes";"https://www.youtube.com/watch?v=taZHxeyQS-I";false;false
"Un pipi au jardin";"https://www.youtube.com/watch?v=ZwOWCPBDQ5s";false;false
"Nombril de Vénus";"https://www.youtube.com/watch?v=uomHFDsgUrA";false;false
"La serre et la maison";"https://www.youtube.com/watch?v=Q2mVeFhmYaY";false;false
"Bibliothèque sur la Permaculture au jardin.";"https://www.youtube.com/watch?v=_m8ZzA__thc";false;false
"Le torchis";"https://www.youtube.com/watch?v=npj617nL9sI";false;false
"7 strates végétales";"https://www.youtube.com/watch?v=c5zJvJ7d3ic";false;false
"Jardiner avec la lune (évocation de la biodynamie)";"https://www.youtube.com/watch?v=bFVhy9Tmi_g";false;false
"Massette à larges feuilles";"https://www.youtube.com/watch?v=drucwH8sytg";false;false
"La Graine Indocile... vue par ses membres";"https://www.youtube.com/watch?v=JvSD3b-KLCA";false;false
"Des pruniers, des poules, des fleurs et des greffes";"https://www.youtube.com/watch?v=fqJ7Cq8e0eY";false;false
"Méfiez-vous des permaculteurs";"https://www.youtube.com/watch?v=ci7F_sfkbcQ";false;false
"Jardiner avec les Prêles";"https://www.youtube.com/watch?v=FzHxym4jeEA";false;false
"Préparation d'une zone de culture  (sans buttes)";"https://www.youtube.com/watch?v=xzcxS4RQbL4";false;false
"Comment faire un compost en 20 jours !";"https://www.youtube.com/watch?v=lKAxBKRfL5A";false;false
"Permaculture et agroécologie au potager";"https://www.youtube.com/watch?v=GlveU36OkTE";false;false
"Forêt comestible  (biodiversité et luminosité)";"https://www.youtube.com/watch?v=9nTQom62h-Q";false;false
"Jardiner avec de la paille";"https://www.youtube.com/watch?v=Ds_VsHCTsxw";false;false
"Des arbres fruitiers gratuits";"https://www.youtube.com/watch?v=DRBFfv9TO_0";false;false
"L'incroyable Ortie";"https://www.youtube.com/watch?v=E9IsNSGLQVM";false;false
"Comment tailler les tomates ? (très simple)";"https://www.youtube.com/watch?v=8UCN-gbMgrk";false;false
"Conservatoire de tomates";"https://www.youtube.com/watch?v=v-ibCQkgYAY";false;false
"Permaculture  F.A.Q.";"https://www.youtube.com/watch?v=jSOJzi4TPRA";false;false
"La serre et la maison (En musique)";"https://www.youtube.com/watch?v=6PCEPIEtaac";false;false
"Comment jardiner avec un sol vivant";"https://www.youtube.com/watch?v=WApK6d1ucz4";false;false
"Permaculture, Agroécologie, Etc ...";"https://www.youtube.com/watch?v=86NpAsmICRg";false;false
"La communication des plantes";"https://www.youtube.com/watch?v=dupJ0c-15vY";false;false
"Le ver de terre";"https://www.youtube.com/watch?v=KEVLvVMAN1A";false;false
"Potager d'automne";"https://www.youtube.com/watch?v=Z8cb_sQgeqM";false;false
"Une yourte à nous !";"https://www.youtube.com/watch?v=2hLelRK4xCI";false;false
"Formation forêt comestible  (Provence verte TV)";"https://www.youtube.com/watch?v=-yoc96L_8cU";false;false
"Les stages de La Graine au jardin du Grand Jas";"https://www.youtube.com/watch?v=BgiG4EKQrS4";false;false
"Arbres fruitiers : Pollinisation et Fructification";"https://www.youtube.com/watch?v=GAeX5STra0A";false;false
"soutenez Permaculture, Agroécologie, Etc ... !";"https://www.youtube.com/watch?v=ky-KZJSkRPI";false;false
"Apiculture et Abeilles sauvages";"https://www.youtube.com/watch?v=6F4mo5ecVAs";false;false
"Comprendre le compost !";"https://www.youtube.com/watch?v=Gr0FCh1-Ctw";false;false
"Sarah et l'association Bzzz";"https://www.youtube.com/watch?v=lwlBbaoPxOM";false;false
"Que faire au jardin en Janvier ?";"https://www.youtube.com/watch?v=0e9uraspI1E";false;false
"Comment faire une forêt comestible ?";"https://www.youtube.com/watch?v=W4k_ibnOnGM";false;false
