title;link;downloaded;notesTaken
"How to Start a Farm From Scratch (Beginner's Guide to Growing Vegetables for Profit)";"https://www.youtube.com/watch?v=fRlUhUWS0Hk";false;false
"Market Garden Tools (Low Cost Start-Up)";"https://www.youtube.com/watch?v=yUFr0C1FJjE";false;false
"Convert Your Lawn into a Profitable Vegetable Farm";"https://www.youtube.com/watch?v=g2DDQ-uuLl0";false;false
"Starting a Farm: 7 Tips for Beginners";"https://www.youtube.com/watch?v=mJ-MeA-W1Ts";false;false
"Market Gardening in January (A Day in The Life of a Farmer in January)";"https://www.youtube.com/watch?v=ScBleHwOkgA";false;false
"Meet The Dutch Farmer";"https://www.youtube.com/watch?v=gXToMg6tqQk";false;false
"Market Gardening in February (A Day in The Life of a Farmer in February)";"https://www.youtube.com/watch?v=KB7mGo8RY2k";false;false
"Is Market Gardening Profitable? Making a Living On a Small Farm";"https://www.youtube.com/watch?v=IJ04HY1wD1k";false;false
"Market Gardening in March (A Day in The Life of a Farmer in March)";"https://www.youtube.com/watch?v=xILmYuRdjUM";false;false
"Market Gardening in April (A Day in The Life of a Farmer in April)";"https://www.youtube.com/watch?v=1JgWrFENqy0";false;false
"How to Prune Tomatoes for Maximum Harvest";"https://www.youtube.com/watch?v=h6ly4g5SC2o";false;false
"Market Gardening in May: Garden Tour";"https://www.youtube.com/watch?v=y-pugIGF5TU";false;false
"Broadfork: How and Why to Use it & Why We Stopped Using Ours";"https://www.youtube.com/watch?v=gm0SPAuDrK8";false;false
"Starting a Farm From Scratch: 5 Things to Know";"https://www.youtube.com/watch?v=Sh0Eig6Xf9E";false;false
"Market Gardening in June (A Day in The Life of a Farmer in June)";"https://www.youtube.com/watch?v=d1OJTXRhy4k";false;false
"Market Gardening in July";"https://www.youtube.com/watch?v=SaujrNQ2iOw";false;false
"No Dig Market Gardening: Seeding, Harvesting, Planting";"https://www.youtube.com/watch?v=Xy-hGfP22Mk";false;false
"How to Make a No Dig Garden Bed";"https://www.youtube.com/watch?v=TVoruCmpfUI";false;false
"From Summer to Fall Market Gardening";"https://www.youtube.com/watch?v=iwL9FwwCVgA";false;false
"How to Plant Garlic From Start to Finish";"https://www.youtube.com/watch?v=BNR8b4_o2LA";false;false
"How to Direct Sow Seeds Fast";"https://www.youtube.com/watch?v=ZsJVsQe66ko";false;false
"How to Minimize Farm Startup Costs";"https://www.youtube.com/watch?v=IEqZY2xs6-Q";false;false
"How To Start A New Garden (From Start to Finish)";"https://www.youtube.com/watch?v=0aNOPuXHCLQ";false;false
"What is No Dig Gardening?";"https://www.youtube.com/watch?v=ij0e1RDgj6E";false;false
"Different Ways to Sell Your Home-Grown Vegetables";"https://www.youtube.com/watch?v=bRZ1FeoUcWs";false;false
"We Bought Abandoned Land in Portugal";"https://www.youtube.com/watch?v=QuQScsROrEI";false;false
"We Started a Food Forest Next to Our New Road";"https://www.youtube.com/watch?v=t8i17l11R04";false;false
"Building a Pond On Our Off Grid Homestead";"https://www.youtube.com/watch?v=W7GUs9z_9zs";false;false
"Starting a Food Forest On 5 New Swales";"https://www.youtube.com/watch?v=ushKuad2U3k";false;false
"Installing Irrigation & Running Water On Off Grid Land";"https://www.youtube.com/watch?v=q3chJ_6DkKQ";false;false
"Easy No Dig Plant Border (Around a Tree)";"https://www.youtube.com/watch?v=17goTFkUxzw";false;false
"Building a DIY Fire Pit with Flagstone Patio (3 Days Start to Finish)";"https://www.youtube.com/watch?v=Xqr3Jo5SiyA";false;false
"Harvesting Potatoes: From Start to Finish";"https://www.youtube.com/watch?v=otg0BQ4VoV8";false;false
"Abandoned Land to Starting Homestead in 6 Months";"https://www.youtube.com/watch?v=yORlix6CV60";false;false
"NEVER Buy This Type of Cheap Off-Grid Land";"https://www.youtube.com/watch?v=v02JLhjN2Vw&t=175s";false;false
